Postcode,Avg asking price,Avg blended ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ¡ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂª/sqft,Sales per month,Turnover (sale),Avg asking rent (pm),Avg yield,3yr,Crime rate,Avg. household income,Social rent
BD21 5,,121,2,14%,,,-18%,283,"30,000",12%
BD22 0,"316,094",239,5,14%,,,,55,"43,600",2%
BD22 6,"207,601",187,8,24%,,,9%,185,"32,400",15%
BD22 7,"218,778",212,7,22%,,,9%,102,"37,000",13%
BD22 8,"233,716",217,5,15%,,,17%,96,"41,200",7%
BD22 9,"291,152",218,7,25%,,,-3%,63,"41,200",1%
BD23 1,"375,928",298,6,30%,,,11%,100,"42,100",9%
BD23 2,"288,083",281,10,20%,,,17%,89,"37,600",19%
BD23 3,"344,585",285,4,11%,,,12%,47,"46,100",3%
BD23 4,"388,609",276,3,7%,,,6%,34,"42,000",4%
BD23 5,"477,819",350,3,9%,,,15%,23,"47,400",9%
BD23 6,"588,862",349,3,8%,,,6%,28,"52,700",4%
BD24 0,"434,232",295,2,6%,,,,33,"39,800",2%
BD24 9,"291,758",289,6,26%,,,24%,58,"39,900",12%
BD3 0,,95,5,52%,,,40%,204,"28,500",27%
BD4 0,"157,421",196,5,19%,,,-2%,243,"29,800",8%
BD4 6,"217,734",215,6,24%,,,25%,159,"39,200",9%
BD4 8,"185,643",142,2,12%,,,-1%,235,"33,000",22%
BD4 9,,106,3,33%,,,38%,249,"28,600",29%
BD5 8,"162,268",129,5,50%,,,10%,162,"30,300",16%
BD5 9,"140,882",125,7,35%,,,25%,167,"29,800",22%
BD6 1,"168,658",190,8,22%,,,3%,139,"33,700",10%
BD6 2,"174,561",187,8,30%,,,7%,220,"33,300",19%
BD6 3,"178,602",199,14,27%,,,15%,116,"34,500",14%
BD7 1,,89,2,24%,,,85%,212,"27,600",11%
BD7 2,,129,5,52%,,,32%,141,"31,500",16%
BD7 4,"194,552",180,7,23%,,,8%,166,"33,400",6%
BD8 0,,154,4,48%,,,-1%,115,"34,800",12%
BD9 4,"232,359",113,4,33%,,,9%,130,"34,900",8%
BD9 5,,131,4,41%,,,15%,135,"33,200",5%
BD9 6,"169,412",171,5,23%,667,4.70%,2%,182,"35,700",11%
BH1 1,"216,415",312,3,4%,"1,031",5.70%,32%,566,"42,900",10%
BH1 2,"251,526",282,2,7%,862,4.10%,86%,867,"42,000",6%
BH1 3,"291,554",318,9,7%,"1,082",4.50%,20%,216,"40,500",6%
BH1 4,"222,266",299,10,11%,974,5.30%,7%,171,"43,400",14%
BH10 4,"345,500",350,6,28%,"2,370",8.20%,9%,105,"42,100",22%
BH10 5,"384,613",371,5,13%,,,1%,69,"42,700",24%
BH10 6,"421,478",391,6,17%,,,-1%,40,"44,200",6%
BH10 7,"359,214",370,4,18%,,,14%,83,"41,300",9%
BH11 8,"316,379",346,7,20%,,,9%,155,"38,700",33%
BH11 9,"387,127",376,13,19%,,,6%,83,"42,800",15%
BH12 1,"338,103",361,8,16%,"1,232",4.40%,6%,103,"48,200",5%
BH12 2,"347,181",349,8,21%,,,9%,55,"46,600",7%
BH12 3,"340,754",357,5,8%,,,2%,109,"43,600",15%
BH12 4,"341,189",357,5,11%,,,1%,117,"43,700",16%
BH12 5,"448,462",358,3,18%,"2,685",7.20%,6%,79,"44,800",24%
BH13 6,"506,224",383,7,7%,"1,505",3.60%,-10%,36,"53,200",5%
BH13 7,"1,054,551",648,4,3%,"2,156",2.50%,17%,104,"53,200",1%
BH14 0,"367,717",396,10,9%,"1,225",4.00%,-1%,85,"49,000",10%
BH14 8,"780,999",494,13,7%,"1,751",2.70%,5%,45,"53,200",1%
BH14 9,"423,556",387,8,9%,"1,108",3.10%,11%,67,"54,000",4%
BH15 1,"288,489",358,7,6%,"1,204",5.00%,4%,334,"43,200",17%
BH15 2,"302,869",358,5,8%,"1,265",5.00%,7%,124,"45,100",18%
BH15 3,"385,258",384,7,14%,,,6%,67,"48,000",8%
BH15 4,"360,210",377,10,12%,,,7%,82,"44,500",13%
BH16 5,"331,288",357,9,14%,,,5%,94,"44,800",11%
BH16 6,"635,998",393,5,11%,,,11%,50,"48,000",4%
BH17 7,"345,136",395,9,23%,,,14%,80,"46,800",7%
BH17 8,"295,971",380,7,25%,,,11%,72,"47,200",10%
BH17 9,"418,521",380,4,21%,,,5%,78,"48,400",10%
BH18 8,"486,873",425,6,19%,,,4%,43,"55,200",4%
BH18 9,"536,907",430,7,14%,,,1%,17,"56,700",5%
BH19 1,"396,386",433,3,2%,,,-7%,84,"40,800",5%
BH19 2,"379,973",425,4,5%,,,1%,71,"40,800",18%
BH19 3,"799,541",511,2,5%,,,,81,"48,500",11%
BH2 5,"268,312",354,6,5%,"1,182",5.30%,-32%,575,"47,300",4%
BH2 6,"253,282",320,6,5%,"1,159",5.50%,8%,171,"44,800",6%
BH20 4,"372,915",378,5,20%,,,9%,72,"43,900",16%
BH20 5,"588,198",470,2,6%,,,,48,"49,100",3%
BH20 6,"438,810",360,3,10%,,,13%,65,"50,400",10%
BH20 7,"532,143",352,5,16%,,,4%,52,"46,500",13%
BH21 1,"464,477",416,10,8%,,,4%,55,"50,300",11%
BH21 2,"465,898",418,7,6%,,,7%,45,"51,100",8%
BH21 3,"494,303",396,7,7%,,,1%,29,"53,100",4%
BH21 4,"504,192",422,3,6%,,,2%,61,"52,000",16%
BH21 5,"662,727",438,2,16%,,,,39,"50,700",6%
BH21 6,"437,154",385,,,,,52%,64,"50,100",9%
BH21 7,"694,994",473,,,,,-37%,39,"52,500",4%
BH22 0,"453,800",417,9,12%,,,9%,40,"45,800",8%
BH22 8,"517,167",399,12,7%,,,5%,46,"49,700",3%
BH22 9,"487,156",402,14,10%,,,10%,61,"45,800",6%
BH23 1,"413,940",418,8,15%,"1,351",3.90%,-4%,136,"43,900",13%
BH23 2,"489,200",419,12,12%,,,-4%,46,"48,400",11%
BH23 3,"430,678",429,7,12%,,,8%,106,"42,300",25%
BH23 4,"479,528",485,10,9%,,,11%,37,"49,200",11%
BH23 5,"428,944",414,10,8%,"1,194",3.30%,6%,43,"47,900",8%
BH23 7,"536,813",399,4,15%,,,9%,43,"47,100",8%
BH23 8,"571,268",447,4,10%,,,6%,57,"49,700",12%
BH24 1,"442,284",398,12,13%,,,1%,64,"46,600",11%
BH24 2,"743,276",428,5,4%,,,8%,41,"51,800",3%
BH24 3,"629,579",443,3,9%,,,11%,72,"49,600",3%
BH24 4,"1,307,779",654,,,,,,68,"49,700",2%
BH25 5,"461,583",417,10,7%,,,6%,56,"41,400",4%
BH25 6,"381,743",372,10,11%,,,-5%,124,"39,500",13%
BH25 7,"519,931",463,10,11%,,,-1%,28,"46,500",1%
BH3 7,"479,135",361,4,10%,"1,998",5.00%,15%,81,"47,400",5%
BH31 6,"465,743",405,11,15%,,,10%,41,"51,900",6%
BH31 7,"461,393",393,4,11%,,,,54,"52,000",3%
BH4 8,"346,904",377,8,7%,"1,378",4.80%,6%,64,"48,800",3%
BH4 9,"268,140",325,7,12%,"1,252",5.60%,13%,103,"47,100",4%
BH5 1,"246,980",342,7,5%,"1,156",5.60%,8%,139,"42,100",6%
BH5 2,"458,125",398,5,16%,,,60%,81,"45,800",9%
BH6 3,"422,577",424,10,12%,"1,267",3.60%,9%,65,"47,800",4%
BH6 4,"572,741",522,5,9%,,,16%,53,"48,800",1%
BH6 5,"440,567",416,8,15%,"1,064",2.90%,4%,58,"49,300",12%
BH7 6,"391,610",365,7,11%,"1,078",3.30%,10%,74,"50,500",8%
BH7 7,"631,750",435,3,11%,,,16%,140,"57,700",5%
BH8 0,"375,000",399,6,40%,,,8%,76,"45,500",14%
BH8 8,"242,418",325,10,12%,"1,813",9.00%,4%,168,"44,500",11%
BH8 9,"502,744",365,9,13%,"1,361",3.20%,13%,129,"46,800",9%
BH9 1,"349,553",346,8,15%,"2,455",8.40%,4%,69,"46,100",13%
BH9 2,"400,708",338,9,18%,"2,712",8.10%,10%,109,"45,600",12%
BH9 3,"400,915",408,9,18%,,,8%,47,"50,500",7%
BL0 0,"311,193",263,7,12%,,,12%,31,"45,300",3%
BL0 9,"317,104",292,12,20%,,,,,"47,100",6%
BL1 1,"72,889",198,4,18%,,,,,"31,300",56%
BL1 2,,134,2,47%,998,,,1,"26,800",40%
BL1 3,"173,711",141,8,69%,,,23%,,"33,200",30%
BL1 4,"191,178",169,8,44%,760,4.80%,13%,,"34,500",34%
BL1 5,"372,249",240,7,9%,,,3%,,"42,500",16%
BL1 6,"253,286",206,9,25%,,,21%,,"38,800",19%
BL1 7,"265,929",246,7,11%,,,11%,,"43,500",9%
BL1 8,"206,180",210,9,19%,,,12%,,"34,800",20%
BL2 1,,197,,,,,-17%,,"33,700",17%
BL2 2,"161,311",167,8,60%,,,13%,,"34,000",26%
BL2 3,"306,525",263,8,17%,,,22%,,"44,200",7%
BL2 4,"309,889",287,4,10%,,,9%,,"44,800",2%
BL2 5,"221,954",229,5,14%,,,19%,,"36,100",15%
BL2 6,"216,608",210,6,18%,,,33%,,"36,700",17%
BL3 1,"240,667",218,8,18%,,,21%,,"36,600",14%
BL3 2,"185,957",189,4,23%,,,32%,,"33,900",17%
BL3 3,"200,261",164,9,39%,,,32%,,"32,300",19%
BL3 4,"305,969",248,7,11%,,,14%,,"41,300",23%
BL4 0,"214,996",181,4,17%,,,4%,,"36,700",19%
BL4 7,,148,7,67%,,,-1%,1,"33,000",24%
BL4 8,"187,594",198,4,18%,,,26%,,"36,900",11%
BL4 9,"178,977",163,6,42%,,,14%,,"33,300",36%
BL5 1,"349,687",243,3,15%,,,23%,,"43,700",10%
BL5 2,"283,149",239,5,6%,,,11%,1,"43,300",5%
BL5 3,"282,812",244,13,10%,997,4.20%,1%,,"43,300",6%
BL6 4,"426,706",294,5,5%,,,17%,1,"47,300",2%
BL6 5,"276,276",226,9,12%,998,4.30%,13%,6,"43,000",4%
BL6 6,"262,834",247,5,9%,,,11%,3,"44,500",3%
BL6 7,"253,998",220,6,13%,,,20%,10,"36,500",2%
BL7 0,"451,750",284,4,11%,,,11%,33,"49,900",1%
BL7 9,"307,997",259,14,15%,,,13%,1,"50,600",4%
BL8 1,"256,235",251,11,18%,,,3%,,"42,700",7%
BL8 2,"308,260",263,10,17%,,,-7%,,"46,600",15%
BL8 3,"280,966",248,5,11%,,,9%,,"46,900",4%
BL8 4,"413,256",325,5,12%,,,6%,,"50,800",1%
BL9 0,,182,2,17%,,,-34%,,"34,700",28%
BL9 5,"300,240",209,7,24%,,,5%,,"40,800",9%
BL9 6,"230,798",210,8,18%,,,28%,1,"37,400",14%
BL9 7,"225,634",199,5,22%,,,10%,,"34,300",19%
BL9 8,"335,871",282,8,18%,,,22%,,"47,100",17%
BL9 9,"258,859",237,6,14%,,,10%,,"37,400",19%
BN1 1,,490,3,27%,"1,567",,66%,"1,861","48,900",17%
BN1 2,"362,999",512,5,7%,"1,529",5.10%,-20%,690,"50,500",7%
BN1 3,"391,438",555,12,12%,"1,603",4.90%,-9%,177,"53,600",9%
BN1 4,"376,119",527,6,7%,"2,094",6.70%,-18%,268,"51,100",15%
BN1 5,"575,775",530,12,18%,"1,376",2.90%,4%,32,"60,200",5%
BN1 6,"510,371",530,18,22%,"1,556",3.70%,6%,58,"63,900",7%
BN1 7,"483,791",468,5,16%,"3,057",7.60%,4%,89,"50,700",25%
BN1 8,"508,345",471,9,9%,,,2%,74,"55,800",9%
BN1 9,,401,2,14%,"2,959",,10%,75,"40,700",33%
BN10 7,"365,308",368,6,11%,,,5%,48,"44,900",6%
BN10 8,"370,400",377,9,14%,,,5%,84,"42,700",10%
BN11 1,"235,667",351,4,11%,,,1%,313,"40,500",15%
BN11 2,"410,667",399,7,11%,,,73%,92,"42,800",7%
BN11 3,"319,582",392,5,6%,"1,263",4.70%,9%,426,"40,700",8%
BN11 4,"243,115",354,7,11%,"1,100",5.40%,4%,115,"41,200",13%
BN11 5,"308,284",375,6,12%,,,7%,45,"49,500",6%
BN12 4,"478,087",441,8,8%,,,11%,66,"48,900",4%
BN12 5,"531,135",482,6,10%,,,5%,44,"48,800",2%
BN12 6,"365,997",402,7,15%,,,13%,177,"49,000",22%
BN13 1,"358,588",383,4,11%,,,14%,71,"47,400",10%
BN13 2,"372,786",404,8,14%,,,5%,86,"42,300",14%
BN13 3,"503,750",415,8,13%,,,4%,73,"49,000",11%
BN14 0,"582,900",469,6,15%,,,9%,35,"49,600",4%
BN14 7,"400,750",403,8,16%,,,7%,75,"51,100",6%
BN14 8,"351,550",387,6,15%,,,5%,88,"49,400",10%
BN14 9,"495,625",395,10,19%,,,10%,77,"54,100",4%
BN15 0,"413,036",394,5,6%,,,11%,71,"43,700",4%
BN15 8,"317,909",396,6,7%,,,8%,64,"37,900",5%
BN15 9,"356,250",385,10,12%,,,6%,144,"41,200",16%
BN16 1,"528,406",438,6,9%,,,9%,45,"45,800",6%
BN16 2,"486,626",428,8,12%,,,,33,"41,800",4%
BN16 3,"318,438",371,13,30%,,,5%,84,"44,500",10%
BN16 4,"475,904",400,7,7%,,,12%,59,"46,200",5%
BN17 5,"271,379",323,9,11%,"1,053",4.70%,-20%,283,"40,200",2%
BN17 6,"336,581",366,11,10%,,,12%,66,"44,000",10%
BN17 7,"317,274",333,10,11%,,,10%,140,"46,500",17%
BN18 0,"419,793",379,6,4%,,,-5%,99,"47,000",7%
BN18 9,"670,142",494,6,8%,,,-31%,81,"47,100",6%
BN2 0,"419,676",505,5,9%,,,13%,116,"41,900",36%
BN2 1,"368,308",528,8,5%,"1,423",4.60%,-9%,263,"42,600",16%
BN2 3,"352,089",480,13,19%,"3,362",11.50%,5%,95,"49,500",11%
BN2 4,"384,881",436,11,19%,"2,758",8.60%,4%,89,"44,100",35%
BN2 5,"462,454",471,4,4%,"2,076",5.40%,35%,173,"43,500",32%
BN2 6,"451,220",420,8,14%,,,7%,46,"50,500",9%
BN2 7,"643,221",508,6,8%,,,-2%,45,"53,700",4%
BN2 8,"500,697",449,7,10%,,,5%,47,"51,500",3%
BN2 9,"420,156",507,9,23%,"2,512",7.20%,6%,101,"46,200",24%
BN20 0,"957,500",477,,,,,-5%,20,"46,500",8%
BN20 7,"375,281",342,8,7%,,,9%,39,"43,900",4%
BN20 8,"384,321",366,4,9%,,,9%,70,"48,200",10%
BN20 9,"511,604",410,4,10%,,,6%,22,"45,600",2%
BN21 1,"315,318",339,10,13%,,,-18%,109,"45,300",5%
BN21 2,"294,673",322,8,9%,"1,218",5.00%,1%,79,"44,100",13%
BN21 3,"208,647",270,8,13%,"1,055",6.10%,-12%,465,"40,800",8%
BN21 4,"276,296",321,4,4%,"1,085",4.70%,26%,572,"40,100",4%
BN22 0,"339,574",367,12,18%,,,8%,59,"42,900",9%
BN22 7,"295,636",294,8,17%,,,-15%,196,"45,700",11%
BN22 8,"304,923",310,7,9%,,,6%,97,"45,600",12%
BN22 9,"277,330",316,9,27%,,,8%,123,"42,300",30%
BN23 5,"303,321",334,10,7%,"1,261",5.00%,5%,38,"48,500",1%
BN23 6,"329,876",352,7,20%,,,-5%,129,"46,800",13%
BN23 7,"302,211",372,8,25%,,,-3%,89,"37,700",16%
BN23 8,"333,552",336,5,12%,,,4%,89,"41,400",20%
BN24 5,"416,118",372,7,8%,,,5%,58,"45,500",5%
BN24 6,"332,558",372,5,10%,,,12%,53,"45,500",1%
BN25 1,"308,943",357,5,8%,,,2%,92,"37,400",9%
BN25 2,"478,573",392,9,12%,,,-1%,33,"46,300",2%
BN25 3,"432,763",387,8,13%,,,10%,41,"45,100",11%
BN25 4,"542,884",409,2,7%,,,16%,29,"43,400",5%
BN26 5,"442,961",395,3,9%,,,,37,"41,400",3%
BN26 6,"359,984",382,10,20%,,,4%,93,"39,500",3%
BN27 1,"373,946",341,9,19%,,,3%,113,"42,500",7%
BN27 2,"379,853",311,4,8%,,,-29%,94,"36,900",27%
BN27 3,"373,085",359,12,14%,,,9%,54,"42,200",5%
BN27 4,"451,864",356,5,5%,,,3%,96,"46,700",3%
BN3 1,"356,538",540,9,8%,"1,426",4.80%,6%,112,"54,400",7%
BN3 2,"444,750",548,9,10%,"1,661",4.50%,54%,143,"49,200",5%
BN3 3,"343,784",513,14,16%,"1,566",5.50%,2%,110,"52,700",8%
BN3 4,"498,382",573,8,17%,,,26%,56,"52,300",6%
BN3 5,"547,245",560,9,15%,"1,896",4.20%,10%,66,"56,900",11%
BN3 6,"813,146",564,11,16%,"2,032",3.00%,6%,42,"63,000",4%
BN3 7,"542,775",488,5,15%,"2,076",4.60%,10%,120,"56,500",14%
BN3 8,"486,998",480,5,27%,,,6%,61,"48,000",15%
BN41 1,"362,220",425,5,25%,,,3%,134,"50,000",25%
BN41 2,"379,301",443,10,26%,,,-3%,69,"46,300",16%
BN42 4,"459,674",428,6,16%,,,11%,68,"45,200",14%
BN43 5,"452,276",455,10,9%,"1,612",4.30%,7%,96,"46,900",6%
BN43 6,"423,408",450,8,13%,,,3%,102,"45,900",17%
BN44 3,"479,700",447,6,7%,,,7%,59,"46,100",4%
BN5 9,"595,620",474,6,11%,,,13%,61,"46,900",5%
BN6 8,"585,934",478,7,11%,"1,876",3.80%,12%,49,"55,300",5%
BN6 9,"588,726",464,8,13%,,,11%,75,"55,200",6%
BN7 1,"618,223",571,7,9%,,,-2%,77,"51,200",12%
BN7 2,"480,808",496,6,8%,,,-11%,138,"42,800",21%
BN7 3,"744,339",495,3,8%,,,34%,39,"57,200",10%
BN8 4,"542,821",434,7,12%,,,2%,34,"55,000",5%
BN8 5,"581,574",431,4,7%,,,9%,39,"48,000",4%
BN8 6,"752,838",434,2,4%,,,25%,49,"50,100",5%
BN9 0,"356,515",318,4,12%,,,-1%,142,"42,300",8%
BN9 9,"320,724",320,7,12%,,,12%,127,"42,400",8%
BR1 1,"375,619",503,3,9%,"1,501",4.80%,27%,"2,994","67,100",6%
BR1 2,"760,833",552,14,22%,"2,000",3.20%,2%,45,"68,200",5%
BR1 3,"457,985",516,11,11%,"1,650",4.30%,1%,95,"62,800",9%
BR1 4,"469,519",497,9,13%,"1,813",4.60%,1%,105,"51,600",19%
BR1 5,"455,882",495,7,17%,,,5%,94,"46,900",30%
BR2 0,"493,481",527,13,19%,"1,599",3.90%,4%,56,"67,500",6%
BR2 6,"1,057,321",581,3,7%,,,23%,47,"58,900",4%
BR2 7,"689,163",580,7,19%,,,2%,54,"68,000",3%
BR2 8,"649,188",526,6,10%,,,3%,90,"56,300",15%
BR2 9,"507,499",524,16,16%,"1,780",4.20%,9%,112,"67,200",8%
BR3 1,"471,117",535,8,13%,"1,710",4.40%,-1%,109,"63,700",9%
BR3 3,"688,875",557,8,16%,,,5%,98,"64,200",9%
BR3 4,"540,093",576,10,25%,"1,682",3.70%,5%,72,"62,700",16%
BR3 5,"426,927",526,9,18%,"1,657",4.70%,6%,60,"67,600",4%
BR3 6,"745,789",548,6,25%,,,2%,46,"67,700",3%
BR4 0,"669,727",529,9,45%,,,1%,41,"66,000",2%
BR4 9,"755,319",521,8,21%,,,,37,"65,100",4%
BR5 1,"779,089",600,8,10%,,,7%,49,"68,000",2%
BR5 2,"451,849",468,10,17%,,,7%,112,"50,300",27%
BR5 3,"424,194",446,8,19%,,,,171,"46,000",29%
BR5 4,"454,744",470,7,12%,,,1%,97,"52,100",17%
BR6 0,"537,500",518,9,15%,"1,783",4.00%,8%,160,"59,100",6%
BR6 6,"631,591",513,5,14%,,,,37,"60,900",2%
BR6 7,"613,576",530,8,11%,,,9%,65,"53,000",5%
BR6 8,"745,310",561,7,13%,,,,77,"67,800",2%
BR6 9,"634,965",550,11,16%,"2,222",4.20%,7%,49,"63,600",5%
BR7 5,"869,605",586,13,24%,,,1%,67,"70,600",4%
BR7 6,"727,167",549,10,19%,,,7%,54,"59,500",6%
BR8 7,"441,999",437,10,15%,,,9%,111,"47,900",12%
BR8 8,"411,129",425,4,11%,,,6%,107,"55,100",8%
BS1 1,,439,,,"1,562",,,"1,062","51,200",9%
BS1 2,,516,,,,,,"3,524","51,200",2%
BS1 3,"267,500",453,2,9%,"2,469",11.10%,,"1,304","51,800",12%
BS1 4,,474,,,,,,"1,579","51,200",12%
BS1 5,"343,071",447,4,13%,"2,030",7.10%,43%,705,"51,200",10%
BS1 6,"364,040",494,6,13%,"1,640",5.40%,767%,462,"47,800",15%
BS10 5,"387,333",379,8,38%,"2,558",7.90%,15%,112,"48,200",27%
BS10 6,"366,998",359,7,15%,"1,833",6.00%,11%,109,"44,700",25%
BS10 7,"363,718",334,4,5%,"1,595",5.30%,9%,179,"47,400",15%
BS11 0,"294,352",328,5,17%,,,17%,165,"41,800",59%
BS11 9,"302,595",325,5,17%,,,15%,120,"45,200",17%
BS13 0,"252,106",295,3,14%,,,-3%,256,"33,100",50%
BS13 7,"337,000",361,8,19%,,,4%,127,"44,600",12%
BS13 8,"320,714",351,5,15%,,,7%,107,"40,500",31%
BS13 9,"269,133",296,,,,,18%,178,"36,800",43%
BS14 0,"338,345",340,7,16%,,,15%,177,"46,100",18%
BS14 8,"327,238",321,7,24%,,,5%,119,"42,900",22%
BS14 9,"337,749",344,8,15%,,,13%,83,"42,800",17%
BS15 1,"305,208",325,12,28%,"1,427",5.60%,13%,84,"44,100",8%
BS15 3,"395,867",348,6,28%,,,2%,58,"50,100",8%
BS15 4,"290,498",333,8,26%,,,10%,64,"43,100",16%
BS15 8,"278,704",334,5,19%,,,3%,127,"46,100",11%
BS15 9,"334,997",343,5,23%,,,12%,71,"48,400",11%
BS16 1,"428,750",378,13,16%,"3,279",9.20%,13%,81,"50,800",17%
BS16 2,"369,423",382,9,33%,"2,666",8.70%,4%,124,"46,400",17%
BS16 3,"267,371",342,8,21%,"2,041",9.20%,8%,185,"45,200",10%
BS16 4,"325,192",326,5,26%,,,14%,84,"42,700",22%
BS16 5,"370,609",349,10,33%,"2,344",7.60%,4%,73,"47,900",13%
BS16 6,"448,929",378,8,24%,,,9%,40,"58,200",8%
BS16 7,"404,332",382,16,37%,,,14%,114,"64,800",11%
BS16 9,"383,998",343,5,12%,,,11%,64,"50,500",9%
BS2 0,"256,522",416,5,17%,"1,295",6.10%,-7%,603,"45,000",46%
BS2 8,"285,604",422,4,14%,"2,472",10.40%,-4%,236,"50,700",30%
BS2 9,"377,857",425,3,19%,"1,724",5.50%,9%,200,"47,200",34%
BS20 0,"371,085",339,4,13%,,,10%,69,"53,200",3%
BS20 6,"409,977",380,12,34%,,,4%,60,"54,000",10%
BS20 7,"373,366",393,15,14%,"1,279",4.10%,11%,73,"55,000",12%
BS20 8,"519,352",416,6,13%,,,13%,55,"60,400",2%
BS21 5,"342,259",400,4,19%,,,8%,25,"47,000",9%
BS21 6,"406,253",366,7,15%,,,7%,74,"49,500",2%
BS21 7,"452,102",386,9,16%,,,14%,36,"51,300",3%
BS22 6,"271,320",309,10,29%,,,6%,122,"41,600",12%
BS22 7,"281,185",321,10,24%,,,12%,55,"47,600",5%
BS22 8,"284,720",306,11,15%,,,8%,76,"44,600",10%
BS22 9,"347,768",314,8,15%,,,9%,47,"46,100",13%
BS23 1,"206,412",225,7,14%,,,44%,604,"39,300",11%
BS23 2,"227,112",244,11,9%,"1,017",5.40%,8%,89,"41,400",6%
BS23 3,"258,069",237,6,10%,,,-13%,201,"35,900",32%
BS23 4,"331,508",267,8,12%,,,17%,83,"41,900",9%
BS24 0,"453,655",329,2,5%,,,,34,"45,200",2%
BS24 7,"295,195",293,12,12%,,,11%,102,"48,400",5%
BS24 8,"310,800",309,4,6%,,,6%,127,"45,800",8%
BS24 9,"361,155",309,5,14%,,,12%,103,"43,500",4%
BS25 1,"536,958",352,7,20%,,,11%,30,"52,600",2%
BS25 5,"530,000",359,,,,,,42,"53,500",5%
BS26 2,"557,685",335,5,8%,,,8%,40,"50,600",3%
BS27 3,"398,179",329,7,9%,,,2%,58,"49,800",9%
BS28 4,"640,370",400,2,5%,,,4%,31,"53,100",4%
BS29 6,"384,061",321,6,10%,,,-45%,58,"45,800",3%
BS3 1,"386,689",462,13,32%,"1,640",5.10%,12%,125,"54,700",14%
BS3 2,"415,909",418,7,37%,,,8%,118,"52,200",17%
BS3 3,"400,333",426,10,53%,,,8%,80,"48,400",8%
BS3 4,"337,762",421,10,32%,"1,537",5.50%,10%,197,"51,300",20%
BS3 5,"354,165",398,8,38%,,,15%,89,"48,900",21%
BS30 5,"493,886",365,4,17%,,,5%,48,"49,800",9%
BS30 6,"428,125",360,3,16%,,,9%,49,"51,600",2%
BS30 7,"392,500",404,3,50%,,,14%,112,"50,600",2%
BS30 8,"320,829",370,5,19%,,,17%,59,"47,900",14%
BS30 9,"372,772",377,8,40%,,,15%,38,"51,100",6%
BS31 1,"428,646",376,12,39%,,,8%,114,"51,900",12%
BS31 2,"354,140",361,8,17%,,,6%,92,"48,000",11%
BS31 3,"577,122",422,,,,,7%,27,"52,700",5%
BS32 0,"377,353",425,6,29%,"1,296",4.10%,11%,28,"64,000",1%
BS32 4,"596,467",391,3,17%,,,22%,70,"55,700",6%
BS32 8,"409,809",427,7,88%,,,11%,55,"62,000",7%
BS32 9,"324,063",407,3,19%,,,10%,32,"61,700",10%
BS34 4,"426,958",409,3,12%,,,,,,
BS34 5,"308,333",356,13,37%,"1,657",6.40%,9%,252,"48,900",20%
BS34 6,"332,365",382,7,41%,,,12%,110,"50,200",7%
BS34 7,"327,903",348,8,19%,"2,819",10.30%,12%,96,"46,100",24%
BS34 8,"440,185",408,9,24%,"2,075",5.70%,11%,106,"54,500",11%
BS35 1,"375,347",384,8,16%,,,8%,58,"55,700",3%
BS35 2,"392,492",330,4,10%,,,10%,61,"51,100",10%
BS35 3,"507,333",360,2,7%,,,16%,46,"56,100",9%
BS35 4,"453,406",330,3,13%,,,14%,61,"55,000",3%
BS36 1,"464,118",374,3,18%,,,13%,62,"50,700",5%
BS36 2,"473,281",382,9,25%,,,7%,39,"53,500",5%
BS37 4,"290,621",316,8,27%,,,7%,121,"45,200",8%
BS37 5,"314,238",353,6,20%,,,10%,71,"47,800",5%
BS37 6,"458,841",374,5,13%,,,16%,60,"52,000",5%
BS37 7,"410,760",364,9,12%,,,12%,86,"55,400",12%
BS37 8,"276,247",329,7,61%,,,15%,39,"46,600",8%
BS39 4,"596,166",374,,,,,,26,"52,400",5%
BS39 5,"509,471",372,3,12%,,,14%,43,"53,600",5%
BS39 6,"457,993",342,5,23%,,,-1%,45,"47,100",6%
BS39 7,"322,358",317,6,18%,,,20%,61,"47,000",15%
BS4 1,"290,666",318,9,30%,,,11%,155,"38,500",36%
BS4 2,"404,666",386,9,38%,,,9%,73,"50,400",10%
BS4 3,"346,667",400,9,22%,"1,968",6.80%,14%,111,"51,000",8%
BS4 4,"320,128",373,12,44%,,,20%,89,"48,500",18%
BS4 5,,326,2,19%,,,4%,245,"49,400",10%
BS40 5,"534,371",370,3,7%,,,12%,48,"54,000",2%
BS40 6,"701,268",387,2,9%,,,,23,"56,200",12%
BS40 7,,373,2,17%,,,-8%,32,"53,400",1%
BS40 8,"616,053",410,3,12%,,,12%,45,"55,700",3%
BS41 9,"603,214",432,4,20%,,,6%,45,"60,000",2%
BS48 1,"368,752",389,4,9%,,,1%,69,"54,800",8%
BS48 2,"357,419",385,9,19%,,,7%,24,"50,400",6%
BS48 3,"639,881",406,4,7%,,,9%,83,"61,900",4%
BS48 4,"522,162",396,5,9%,,,-2%,32,"51,900",2%
BS49 4,"431,082",351,7,13%,,,3%,48,"51,900",2%
BS49 5,"505,953",341,3,8%,,,18%,53,"49,100",11%
BS5 0,"336,713",351,4,18%,"1,770",6.30%,-1%,225,"38,700",37%
BS5 6,"347,145",374,16,34%,"2,092",7.20%,4%,195,"43,000",15%
